repo,star_count,fork_count,watch_count,dependencies_count,contributors_count,dependents_count
apache/commons-bcel,228,125,45,42,46,1707
FasterXML/java-classmate,252,44,13,10,17,7366
apache/commons-beanutils,260,193,53,27,52,116880
apache/commons-cli,313,181,41,25,60,49548
apache/commons-codec,426,233,52,31,58,243746
apache/commons-collections,643,451,71,35,104,114956
apache/commons-dbcp,322,237,43,40,67,161195
apache/commons-digester,50,44,32,46,35,2302
apache/commons-fileupload,220,168,44,53,54,0
apache/commons-io,956,625,88,36,124,573616
apache/commons-jxpath,28,52,38,30,27,3199
apache/commons-lang,2575,1526,168,33,248,186397
apache/commons-logging,135,124,37,40,45,152984
apache/commons-net,233,177,47,35,53,50657
apache/commons-pool,490,297,57,37,63,0
apache/commons-validator,190,145,47,30,56,30081
DozerMapper/dozer,2046,517,107,183,81,0
apache/geronimo-specs,24,31,8,264,45,653
google/gson,22636,4347,739,89,154,477172
eclipse-ee4j/angus-activation,7,6,8,145,5,0
eclipse-aspectj/aspectj,236,75,10,255,25,16
apache/ws-axiom,7,18,6,341,36,26
apache/axis-axis2-java-core,19,28,7,822,89,0
jibx/jibx,28,14,11,16,3,0
FasterXML/jackson-annotations,991,323,71,9,44,200914
FasterXML/jackson-core,2196,756,159,29,91,269769
FasterXML/jackson-databind,3386,1352,169,34,266,632633
FasterXML/jackson-datatype-joda,136,82,14,10,44,18227
jakartaee/jaf-api,26,31,16,133,15,4264
jakartaee/inject,13,15,16,4,7,2147
jaxen-xpath/jaxen,78,31,11,22,25,24114
jboss-logging/jboss-logging,35,68,10,15,17,18525
jettison-json/jettison,46,27,4,17,17,0
